year,state,chapter,yearly_total
2009,KARNATAKA,Bangalore,4391.0
2009,KARNATAKA,Work an Hour,3311.0
2009,KARNATAKA,Chicago,14847.0
2009,KARNATAKA,Arizona,5000.0
2009,KARNATAKA,Seattle,3050.0
2009,KARNATAKA,Arizona,5000.0
2009,KARNATAKA,Seattle,0.0
2009,KARNATAKA,Silicon Valley,25950.0
2009,KARNATAKA,Seattle,19367.0
2009,KARNATAKA,Silicon Valley,11930.0
2009,KARNATAKA,Austin,6900.0
2010,KARNATAKA,Work an Hour,12750.0
2010,KARNATAKA,UFlorida,3000.0
2010,KARNATAKA,Detroit,32830.0
2010,KARNATAKA,Chicago,6786.0
2010,KARNATAKA,Arizona,2800.0
2010,KARNATAKA,Seattle,7500.0
2010,KARNATAKA,Dallas,2000.0
2010,KARNATAKA,Seattle,8225.0
2010,KARNATAKA,Silicon Valley,37505.0
2010,KARNATAKA,Silicon Valley,48193.0
2010,KARNATAKA,Stanford,3000.0
2010,KARNATAKA,Austin,7020.0
2010,KARNATAKA,Seattle,1570.0
2010,KARNATAKA,Boston,5000.0
2010,KARNATAKA,Austin,16850.0
2010,KARNATAKA,San Diego,3500.0
2010,KARNATAKA,Silicon Valley,37405.0
2010,KARNATAKA,Berkeley,3300.0
2010,KARNATAKA,Boston,2000.0
2010,KARNATAKA,Austin,9978.0
2010,KARNATAKA,Seattle,6650.0
2010,KARNATAKA,CentralNJ,10000.0
2010,KARNATAKA,Bangalore,7076.0
2010,KARNATAKA,Chicago,6723.0
2010,KARNATAKA,Boston,10000.0
2010,KARNATAKA,Seattle,21600.0
2010,KARNATAKA,Arizona,7000.0
2011,KARNATAKA,Seattle,8700.0
2011,KARNATAKA,St. Louis,6043.0
2011,KARNATAKA,Silicon Valley,22204.0
