state,year,chapter,chapter_amount
TAMIL NADU,2002,Stanford,7000.0
TAMIL NADU,2002,Syracuse,2150.0
TAMIL NADU,2002,Work an Hour,8836.0
TAMIL NADU,2003,Arizona,2500.0
TAMIL NADU,2003,Athens,5800.0
TAMIL NADU,2003,Atlanta,2020.0
TAMIL NADU,2003,Berkeley,7305.0
TAMIL NADU,2003,Boston,7365.0
TAMIL NADU,2003,CentralNJ,2000.0
TAMIL NADU,2003,Colorado,5837.0
TAMIL NADU,2003,Cornell,1900.0
TAMIL NADU,2003,DC,5900.0
TAMIL NADU,2003,Detroit,5690.0
TAMIL NADU,2003,Houston,6300.0
TAMIL NADU,2003,NYC/NJ,37960.0
TAMIL NADU,2003,Portland,1850.0
TAMIL NADU,2003,Seattle,53931.0
TAMIL NADU,2003,Silicon Valley,41493.0
TAMIL NADU,2003,St. Louis,14030.0
TAMIL NADU,2003,Stanford,15755.0
TAMIL NADU,2003,Syracuse,2200.0
TAMIL NADU,2003,Toledo,1710.0
TAMIL NADU,2004,Arizona,10767.0
TAMIL NADU,2004,Athens,5800.0
TAMIL NADU,2004,Atlanta,3000.0
TAMIL NADU,2004,Boston,2880.0
TAMIL NADU,2004,Colorado,75611.0
TAMIL NADU,2004,DC,4500.0
TAMIL NADU,2004,Houston,3600.0
TAMIL NADU,2004,Mid-Hudson Valley,11650.0
TAMIL NADU,2004,NYC/NJ,42100.0
TAMIL NADU,2004,Portland,1600.0
TAMIL NADU,2004,Princeton,4100.0
TAMIL NADU,2004,Santa Barbara,2000.0
TAMIL NADU,2004,Seattle,26748.0
TAMIL NADU,2004,Silicon Valley,57807.0
TAMIL NADU,2004,St. Louis,3500.0
TAMIL NADU,2004,Toledo,300.0
TAMIL NADU,2004,Work an Hour,10000.0
TAMIL NADU,2005,Arizona,16600.0
TAMIL NADU,2005,Atlanta,2400.0
TAMIL NADU,2005,Austin,27059.0
TAMIL NADU,2005,Berkeley,2400.0
TAMIL NADU,2005,Boston,1683.0
TAMIL NADU,2005,Canada,3500.0
TAMIL NADU,2005,Chennai,1212.0
TAMIL NADU,2005,Chicago,5209.0
TAMIL NADU,2005,Cleveland,27594.0
TAMIL NADU,2005,Colorado,7767.0
TAMIL NADU,2005,Cornell,6000.0
TAMIL NADU,2005,DC,4625.0
TAMIL NADU,2005,Dallas,2326.0
TAMIL NADU,2005,Houston,5302.0
TAMIL NADU,2005,NYC/NJ,14300.0
TAMIL NADU,2005,Philadelphia,0.0
TAMIL NADU,2005,Portland,11651.0
TAMIL NADU,2005,Princeton,4300.0
TAMIL NADU,2005,Redlands,2225.0
TAMIL NADU,2005,Santa Barbara,1500.0
TAMIL NADU,2005,Seattle,283079.0
TAMIL NADU,2005,Silicon Valley,44624.0
TAMIL NADU,2005,Stanford,10511.0
TAMIL NADU,2005,Syracuse,2500.0
TAMIL NADU,2005,Toledo,6942.0
TAMIL NADU,2005,UFlorida,0.0
TAMIL NADU,2005,Work an Hour,10000.0
TAMIL NADU,2005,Yale,15413.0
TAMIL NADU,2006,Arizona,16580.0
TAMIL NADU,2006,Atlanta,4160.0
TAMIL NADU,2006,Austin,28203.0
TAMIL NADU,2006,Boston,15012.0
TAMIL NADU,2006,CentralNJ,8000.0
TAMIL NADU,2006,Chennai,23947.0
TAMIL NADU,2006,Cleveland,10000.0
TAMIL NADU,2006,Cornell,2000.0
TAMIL NADU,2006,DC,5500.0
TAMIL NADU,2006,General Funds,13836.0
TAMIL NADU,2006,Houston,2000.0
TAMIL NADU,2006,NYC/NJ,19140.0
TAMIL NADU,2006,Portland,2977.0
TAMIL NADU,2006,Princeton,4200.0
TAMIL NADU,2006,Seattle,18830.0
TAMIL NADU,2006,Silicon Valley,57996.0
TAMIL NADU,2006,Stanford,3500.0
TAMIL NADU,2006,Toledo,7000.0
TAMIL NADU,2006,Work an Hour,4500.0
TAMIL NADU,2006,Yale,19476.0
TAMIL NADU,2007,Arizona,5006.0
TAMIL NADU,2007,Atlanta,1200.0
TAMIL NADU,2007,Austin,65618.0
TAMIL NADU,2007,Boston,14475.0
TAMIL NADU,2007,CentralNJ,10500.0
TAMIL NADU,2007,Chennai,47517.0
TAMIL NADU,2007,Cincinnati,1200.0
TAMIL NADU,2007,Cleveland,5344.0
TAMIL NADU,2007,Colorado,7500.0
TAMIL NADU,2007,Cornell,5800.0
TAMIL NADU,2007,DC,5000.0
TAMIL NADU,2007,Dallas,10000.0
TAMIL NADU,2007,Houston,5000.0
TAMIL NADU,2007,Madison,2100.0
TAMIL NADU,2007,NYC/NJ,40642.0
TAMIL NADU,2007,Portland,1000.0
TAMIL NADU,2007,Princeton,4400.0
TAMIL NADU,2007,Salt Lake City,2500.0
TAMIL NADU,2007,Seattle,103613.0
TAMIL NADU,2007,Silicon Valley,150852.0
TAMIL NADU,2007,Stanford,9256.0
TAMIL NADU,2007,Toledo,2200.0
TAMIL NADU,2007,UFlorida,5000.0
TAMIL NADU,2007,UIUC,7680.0
TAMIL NADU,2007,Work an Hour,5500.0
TAMIL NADU,2007,Yale,770.0
TAMIL NADU,2008,Arizona,19300.0
TAMIL NADU,2008,Atlanta,8926.0
TAMIL NADU,2008,Austin,26285.0
TAMIL NADU,2008,Boston,28845.0
TAMIL NADU,2008,CentralNJ,23018.0
TAMIL NADU,2008,Chennai,35315.0
TAMIL NADU,2008,Cleveland,5782.0
TAMIL NADU,2008,Colorado,1970.0
TAMIL NADU,2008,Cornell,7718.0
TAMIL NADU,2008,Dallas,5686.0
TAMIL NADU,2008,Houston,1600.0
TAMIL NADU,2008,Irvine,4555.0
TAMIL NADU,2008,Madison,27800.0
TAMIL NADU,2008,NYC/NJ,62264.0
TAMIL NADU,2008,Princeton,5750.0
TAMIL NADU,2008,Purdue,500.0
TAMIL NADU,2008,Seattle,149495.0
TAMIL NADU,2008,Silicon Valley,132431.0
TAMIL NADU,2008,St. Louis,17750.0
TAMIL NADU,2008,Stanford,16043.0
TAMIL NADU,2008,UFlorida,10000.0
TAMIL NADU,2008,UIUC,7230.0
TAMIL NADU,2008,Work an Hour,36082.0
TAMIL NADU,2009,Ann-Arbor,7000.0
TAMIL NADU,2009,Arizona,5000.0
TAMIL NADU,2009,Atlanta,3800.0
TAMIL NADU,2009,Austin,17195.0
TAMIL NADU,2009,Berkeley,4093.0
TAMIL NADU,2009,Birmingham,1000.0
TAMIL NADU,2009,Boston,14477.0
TAMIL NADU,2009,Burlington,2000.0
TAMIL NADU,2009,Chennai,30587.0
TAMIL NADU,2009,Cleveland,2500.0
TAMIL NADU,2009,Colorado,1690.0
TAMIL NADU,2009,Dallas,5150.0
TAMIL NADU,2009,Irvine,14468.0
TAMIL NADU,2009,Madison,3400.0
TAMIL NADU,2009,Munich,5294.0
TAMIL NADU,2009,NYC/NJ,77623.0
TAMIL NADU,2009,Princeton,4900.0
TAMIL NADU,2009,Seattle,72553.0
TAMIL NADU,2009,Silicon Valley,146480.0
TAMIL NADU,2009,St. Louis,3250.0
TAMIL NADU,2009,Stanford,10437.0
TAMIL NADU,2009,UFlorida,6660.0
TAMIL NADU,2009,UIUC,9114.0
TAMIL NADU,2009,Work an Hour,28640.0
TAMIL NADU,2010,Arizona,17000.0
TAMIL NADU,2010,Atlanta,8670.0
TAMIL NADU,2010,Austin,32675.0
TAMIL NADU,2010,Boston,12865.0
TAMIL NADU,2010,Chennai,49100.0
TAMIL NADU,2010,Cincinnati,2450.0
TAMIL NADU,2010,Cleveland,5760.0
