state,year,state_total_amount,state_percentage,pop_adj_units,total_amount
MAHARASHTRA,2004,2118760,14.366825865602681,1.5481493389658063,1053399.0
MAHARASHTRA,2005,3335956,17.230978319259115,1.856786456816715,1489248.0
MAHARASHTRA,2006,1442922,9.021364721793708,0.9721298191588047,1230346.0
MAHARASHTRA,2007,4506384,16.161520525318707,1.7415431600558953,2323618.0
MAHARASHTRA,2008,6694496,13.529114664069526,1.4578787353523197,3092634.0
MAHARASHTRA,2009,3931312,11.628714984919956,1.253094287168099,2414781.0
MAHARASHTRA,2010,6113970,11.197984748467743,1.2066793909986793,3033269.0
MAHARASHTRA,2011,2635479,10.399274968846319,1.120611526815336,2303901.0
MAHARASHTRA,2012,1273454,9.584093277405664,1.0327686721342313,1898166.0
MAHARASHTRA,2013,4428160,15.724717446483382,1.6944738627676061,2560046.0
MAHARASHTRA,2014,6017475,14.081261442900628,1.5173773106573953,2848928.0
MAHARASHTRA,2015,3116594,8.110905222331125,0.874019959302923,2955749.0
MAHARASHTRA,2016,6155292,12.643684913531365,1.3624660467167418,3744826.0
MAHARASHTRA,2017,6984523,12.480493095519833,1.3448807214999823,4304886.0
MAHARASHTRA,2018,6705088,14.236755171621883,1.5341331003902894,3622848.0
MAHARASHTRA,2019,5517330,12.038993269564452,1.2973053092203075,3273488.0
MAHARASHTRA,2020,3386390,10.44938924707028,1.1260117723136078,3240754.0
MAHARASHTRA,2021,3846414,10.731268983283202,1.1563867438882762,3258459.0
MAHARASHTRA,2022,3926810,13.08903071487832,1.4104558959998188,3000077.0
MAHARASHTRA,2023,3123423,11.419295271538415,1.2305275077088809,3039128.0
MAHARASHTRA,2024,801575,18.235870229172615,1.965072222971187,879119.0
MANIPUR,2000,2750,0.5202765979586238,2.4775076093267803,528565.0
MANIPUR,2003,4000,0.4244783956414558,2.0213256935307418,942333.0
MANIPUR,2004,8000,0.37972316282814017,1.808205537276858,1053399.0
MANIPUR,2005,36000,0.6043318507058596,2.8777707176469502,1489248.0
MANIPUR,2006,42000,1.137891292368163,5.41852996365792,1230346.0
MANIPUR,2007,150635,1.2965556300562313,6.174074428839198,2323618.0
MANIPUR,2008,84393,0.9096129706910031,4.331490336623824,3092634.0
MANIPUR,2009,9400,0.19463462732231204,0.9268315586776765,2414781.0
MANIPUR,2010,153580,1.0126368614191488,4.822080292472137,3033269.0
MANIPUR,2011,87252,1.2623806318066617,6.0113363419364845,2303901.0
MANIPUR,2012,54786,1.443129842173972,6.872046867495106,1898166.0
MANIPUR,2013,150576,1.9605897706525588,9.336141765012185,2560046.0
MANIPUR,2014,226408,1.9867823967471274,9.460868555938703,2848928.0
MANIPUR,2015,574652,4.860460072895228,23.14504796616776,2955749.0
MANIPUR,2016,159525,1.4199591649919114,6.761710309485293,3744826.0
MANIPUR,2017,48570,0.5641264367976295,2.686316365702998,4304886.0
MANIPUR,2018,20270,0.5595045665730386,2.6643074598716123,3622848.0
MANIPUR,2019,67048,1.0241063966020343,4.876697126676354,3273488.0
MANIPUR,2020,43798,0.6757378066956023,3.2177990795028686,3240754.0
MANIPUR,2021,56710,0.8701966174808399,4.143793416575428,3258459.0
MANIPUR,2022,79530,1.325465979706521,6.311742760507243,3000077.0
MANIPUR,2023,105086,1.7288840746424632,8.232781307821254,3039128.0
ODISHA,1993,2000,16.920473773265652,4.876217225724972,11820.0
ODISHA,1994,1200,5.6417489421720735,1.6258642484645744,21270.0
ODISHA,1995,1200,4.037413363838234,1.1635197013943037,29722.0
ODISHA,1996,1200,2.688412940227619,0.7747587723998901,44636.0
ODISHA,1997,1500,1.7160507951035349,0.4945391340356008,87410.0
ODISHA,1999,113346,13.662169101073486,3.937224524805039,414817.0
ODISHA,2000,67200,3.1784170348017744,0.9159703270322116,528565.0
ODISHA,2001,60450,2.625585055925613,0.7566527538690527,767448.0
ODISHA,2002,105790,2.5682857135920796,0.740139975098582,823818.0
ODISHA,2003,59115,2.0910866965287216,0.6026186445327728,942333.0
ODISHA,2004,311075,5.906119143838184,1.7020516264663357,1053399.0
ODISHA,2005,56883,1.2731929134704227,0.3669143842854244,1489248.0
ODISHA,2006,278040,3.7664201777386204,1.0854236823454235,1230346.0
ODISHA,2007,747472,4.021056817428683,1.158805999258986,2323618.0
