state,chapter,year,state_total_amount,total_amount,state_percentage,pop_adj_units
ANDHRA PRADESH,Seattle,2017,89715.0,1384038.0,6.48211971058598,1.5810048074599954
ANDHRA PRADESH,Silicon Valley,2017,23543.0,477138.0,4.93421190515113,1.2034663183295442
ANDHRA PRADESH,All Chapters,2018,1996110.0,3622848.0,6.121979172187186,1.493165651752972
ANDHRA PRADESH,Austin,2018,10254.0,60888.0,16.840756799369334,4.107501658382764
ANDHRA PRADESH,Bangalore,2018,9029.0,53012.0,17.03199275635705,4.154144574721232
ANDHRA PRADESH,Boston,2018,25831.0,125631.0,20.561008031457202,5.014880007672489
ANDHRA PRADESH,Danbury,2018,7342.0,58475.0,12.555793073963232,3.0623885546251786
ANDHRA PRADESH,Frankfurt,2018,8648.0,16046.0,53.89505172628692,13.145134567387055
ANDHRA PRADESH,Kansas City,2018,16400.0,37242.0,44.036303098652056,10.74056173137855
ANDHRA PRADESH,San Diego,2018,2522.0,25395.0,9.931088797007286,2.422216779757875
ANDHRA PRADESH,Seattle,2018,108706.0,887377.0,12.250261162955542,2.9878685763306203
ANDHRA PRADESH,Silicon Valley,2018,33058.0,565510.0,5.845696804654206,1.4257797084522454
ANDHRA PRADESH,All Chapters,2019,1055439.0,3273488.0,4.6060043598754605,1.1234156975306002
ANDHRA PRADESH,Austin,2019,10709.0,68668.0,15.595328246053475,3.803738596598409
ANDHRA PRADESH,Bangalore,2019,15163.0,77256.0,19.626954540747644,4.7870620831091815
ANDHRA PRADESH,Boston,2019,13184.0,64002.0,20.59935627011656,5.024233236613795
ANDHRA PRADESH,Frankfurt,2019,8788.0,8788.0,100.0,24.390243902439025
ANDHRA PRADESH,Kansas City,2019,9497.0,25767.0,36.857220475802386,8.9895659697079
ANDHRA PRADESH,Seattle,2019,77077.0,748896.0,10.292083279921378,2.5102642146149705
ANDHRA PRADESH,Silicon Valley,2019,16359.0,490545.0,3.33486224505397,0.8133810353790172
ANDHRA PRADESH,All Chapters,2020,1230576.0,3240754.0,4.746488008654776,1.157680002110921
ANDHRA PRADESH,Austin,2020,11147.0,164005.0,6.796744001707265,1.6577424394407965
ANDHRA PRADESH,Bangalore,2020,16421.0,100251.0,16.379886484922842,3.995094264615328
ANDHRA PRADESH,Boston,2020,6774.0,62938.0,10.762973084622962,2.6251153864934054
ANDHRA PRADESH,Frankfurt,2020,9881.0,12788.0,77.26775101657805,18.845792930872697
ANDHRA PRADESH,Kansas City,2020,17127.0,72475.0,23.63159710244912,5.763804171329054
ANDHRA PRADESH,Seattle,2020,55892.0,850350.0,6.572822955253719,1.603127550061883
ANDHRA PRADESH,Silicon Valley,2020,11681.0,580511.0,2.012192706081366,0.4907787088003332
ANDHRA PRADESH,Stanford,2020,24899.0,55597.0,44.784790546252495,10.92311964542744
ANDHRA PRADESH,All Chapters,2021,1201466.0,3258459.0,5.267459249909236,1.284746158514448
ANDHRA PRADESH,Bangalore,2021,21559.0,112354.0,19.188457909820745,4.680111685322133
ANDHRA PRADESH,Boston,2021,16175.0,146114.0,11.070123328360047,2.7000300800878168
ANDHRA PRADESH,Danbury,2021,9414.0,52566.0,17.908914507476315,4.36802792865276
ANDHRA PRADESH,Frankfurt,2021,12153.0,12153.0,100.0,24.390243902439025
ANDHRA PRADESH,Kansas City,2021,18134.0,48801.0,37.15907460912686,9.063188929055332
ANDHRA PRADESH,London,2021,4110.0,29777.0,13.802599321624074,3.366487639420506
ANDHRA PRADESH,Seattle,2021,90093.0,853738.0,10.552769116520524,2.573846125980616
ANDHRA PRADESH,All Chapters,2022,1012050.0,3000077.0,5.622355692870549,1.3713062665537927
ANDHRA PRADESH,Bangalore,2022,15685.0,123271.0,12.723998345109555,3.103414230514526
ANDHRA PRADESH,Boston,2022,17508.0,142716.0,12.267720507861767,2.9921269531370167
ANDHRA PRADESH,Danbury,2022,12598.0,55953.0,22.515325362357693,5.491542771306755
ANDHRA PRADESH,Frankfurt,2022,7504.0,7504.0,100.0,24.390243902439025
ANDHRA PRADESH,Kansas City,2022,25927.0,56954.0,45.52270253186783,11.10309817850435
ANDHRA PRADESH,Seattle,2022,89453.0,714228.0,12.524431974103509,3.0547395058789046
